Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e2c07baf7e3f62cf0c5e42b73c02baa86fbba93594f6054651d0960b9e5f8c98,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.308007,51.406617,On or near HIGH STREET,E01002968,Kingston upon Thames 009C,Investigation complete; no suspect identified
549863ca3b060bd3a85780898edac9e08b5edb71e497b3f49565ed4b1a62b4f2,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
cb494215d15af9659a3363d1449d049d5e15acd8ad7bb9b8f5d06c5ca7e6e6be,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
02a12f55acf44cbcaaa1b294bc9a6b4e84aa9882ad68ac468999475b3c88dad2,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.056538,51.505350,On or near CLEGG STREET,E01004296,Tower Hamlets 026D,Local resolution
94f00347e0fca56eef2f33b29fae7f9edda829fddb97cd432c9d2dcd46b1a227,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
9ad099479e4862efc4238ee1b50ba5fbd57be8ae66bf2009c08d756ec7a2047d,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.138977,51.510275,On or near VIGO STREET,E01033595,Westminster 013E,Investigation complete; no suspect identified
99ffe03d347306fba4ccb2e27ea5cd01106ab151db31337558fa9781c809fe2d,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
833866c0304caf8851f90270f005009ccd712cd3de62a98faeef1f4c1039f27c,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
8993020138aad09047f0aff6a8602e0115bdbdf8c6cdd845d4a56b7bfeb7eace,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
cee333a46721bd0ef4411c4cd1c9fa2f7a2d45a10330723040ec72955dffdce7,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
0a7a9effec7676897ee15b23db3629ebde9a845a27081b87781bbaf9716d9205,2019-03,Metropolitan Police Service,Metropolitan Police Service,-0.072670,51.478188,On or near JOWETT STREET,E01004007,Southwark 018E,Investigation complete; no suspect identified
e1df1df148346780070a801ecece6b6ecd9457669b651343e9060af462a5402f,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
ad66de9626f4bace341f8b526ccd4e2e40254faec8f50c6939c84923583fc91a,2019-03,Metropolitan Police Service,Metropolitan Police Service,0.018007,51.514567,On or near ST THOMAS ROAD,E01003511,Newham 036A,Offender given penalty notice
820a5bb0b20068a62d010c457d5fb631c9aa752d5677c7d981401d7a5c3d89e2,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
0098c333c99c1dec96bec4a1e5a9f05fb96bafd6a78543c06256f0e7b1bc3560,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3b35e38774122e823c25d1964e6466c1adbc916c12b6ce79ddd80281b63299d0,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
279c5a2618c06c7e82f98d98fe75f91709f3d4fe6c1c596215dc3a04842febb4,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
ce66b5ccfd356b730afa14c07a0b2eeece6fc7c5bdc17da4cd11a4fbe82b2896,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
5f3e667125f4d2cbd7b3a3765a70b056e52ce4f79e65c88d49b14c724f96b798,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
5ac58bd5ceb3704df7c5e19d5846f796c5b38a716f1cab2e24afe67347598688,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Local resolution
2cd76a85757234b316fac6fdc7bb05c364aec0a2ac990c1e428b4ca43ec8f4f0,2019-03,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Suspect charged
